"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"13.01.2023 07:00 - 13.01.2023 08:00","37689","38231"
"13.01.2023 08:00 - 13.01.2023 09:00","41680","42317"
"13.01.2023 09:00 - 13.01.2023 10:00","43280","43727"
"13.01.2023 10:00 - 13.01.2023 11:00","43324","42597"
"13.01.2023 11:00 - 13.01.2023 12:00","42882","42232"
"13.01.2023 12:00 - 13.01.2023 13:00","40285","39826"
"13.01.2023 13:00 - 13.01.2023 14:00","39297","39173"
"13.01.2023 14:00 - 13.01.2023 15:00","40045","40014"
"13.01.2023 15:00 - 13.01.2023 16:00","40165","40415"
"13.01.2023 16:00 - 13.01.2023 17:00","40851","40852"
"13.01.2023 17:00 - 13.01.2023 18:00","42305","42071"
"13.01.2023 18:00 - 13.01.2023 19:00","42494","41928"
"13.01.2023 19:00 - 13.01.2023 20:00","41719","41311"
"13.01.2023 20:00 - 13.01.2023 21:00","38997","38666"
"13.01.2023 21:00 - 13.01.2023 22:00","35806","35445"
"13.01.2023 22:00 - 13.01.2023 23:00","32215","32094"
"13.01.2023 23:00 - 14.01.2023 00:00","29199","29167"
"14.01.2023 00:00 - 14.01.2023 01:00","26407","26573"
"14.01.2023 01:00 - 14.01.2023 02:00","24676","24752"
"14.01.2023 02:00 - 14.01.2023 03:00","23898","23835"
"14.01.2023 03:00 - 14.01.2023 04:00","23466","23417"
"14.01.2023 04:00 - 14.01.2023 05:00","23493","23385"
"14.01.2023 05:00 - 14.01.2023 06:00","24139","23922"
"14.01.2023 06:00 - 14.01.2023 07:00","27089","26343"
"14.01.2023 07:00 - 14.01.2023 08:00","30588","29251"
"14.01.2023 08:00 - 14.01.2023 09:00","33346","31876"
"14.01.2023 09:00 - 14.01.2023 10:00","34660","33071"
"14.01.2023 10:00 - 14.01.2023 11:00","34392","32216"
"14.01.2023 11:00 - 14.01.2023 12:00","33341","30921"
"14.01.2023 12:00 - 14.01.2023 13:00","30909","29652"
"14.01.2023 13:00 - 14.01.2023 14:00","29442","28903"
"14.01.2023 14:00 - 14.01.2023 15:00","29048","28855"
"14.01.2023 15:00 - 14.01.2023 16:00","29093","28846"
"14.01.2023 16:00 - 14.01.2023 17:00","30132","30021"
"14.01.2023 17:00 - 14.01.2023 18:00","33266","33227"
"14.01.2023 18:00 - 14.01.2023 19:00","34953","34696"
"14.01.2023 19:00 - 14.01.2023 20:00","35860","34959"
"14.01.2023 20:00 - 14.01.2023 21:00","34456","32875"
"14.01.2023 21:00 - 14.01.2023 22:00","31850","30278"
"14.01.2023 22:00 - 14.01.2023 23:00","29480","28025"
"14.01.2023 23:00 - 15.01.2023 00:00","26805","25718"
"15.01.2023 00:00 - 15.01.2023 01:00","24175","23865"
"15.01.2023 01:00 - 15.01.2023 02:00","22368","22145"
"15.01.2023 02:00 - 15.01.2023 03:00","21255","21126"
"15.01.2023 03:00 - 15.01.2023 04:00","20835","20585"
"15.01.2023 04:00 - 15.01.2023 05:00","21113","20539"
"15.01.2023 05:00 - 15.01.2023 06:00","21231","20969"
"15.01.2023 06:00 - 15.01.2023 07:00","22178","22269"
"15.01.2023 07:00 - 15.01.2023 08:00","23452","23451"
"15.01.2023 08:00 - 15.01.2023 09:00","24990","25046"
"15.01.2023 09:00 - 15.01.2023 10:00","26858","27292"
"15.01.2023 10:00 - 15.01.2023 11:00","27633","28073"
"15.01.2023 11:00 - 15.01.2023 12:00","27948","28862"
"15.01.2023 12:00 - 15.01.2023 13:00","27734","29230"
"15.01.2023 13:00 - 15.01.2023 14:00","26960","27972"
"15.01.2023 14:00 - 15.01.2023 15:00","26569","27366"
"15.01.2023 15:00 - 15.01.2023 16:00","26744","27441"
"15.01.2023 16:00 - 15.01.2023 17:00","27583","28020"
"15.01.2023 17:00 - 15.01.2023 18:00","30540","30412"
"15.01.2023 18:00 - 15.01.2023 19:00","32336","31854"
"15.01.2023 19:00 - 15.01.2023 20:00","33496","32556"
"15.01.2023 20:00 - 15.01.2023 21:00","32625","31521"
"15.01.2023 21:00 - 15.01.2023 22:00","30466","29662"
"15.01.2023 22:00 - 15.01.2023 23:00","28298","27441"
"15.01.2023 23:00 - 16.01.2023 00:00","25468","24941"
"16.01.2023 00:00 - 16.01.2023 01:00","22904","22605"
"16.01.2023 01:00 - 16.01.2023 02:00","21665","21351"
"16.01.2023 02:00 - 16.01.2023 03:00","21178","20932"
"16.01.2023 03:00 - 16.01.2023 04:00","21083","20799"
"16.01.2023 04:00 - 16.01.2023 05:00","21614","21623"
"16.01.2023 05:00 - 16.01.2023 06:00","23747","24171"
"16.01.2023 06:00 - 16.01.2023 07:00","29792","30460"
"16.01.2023 07:00 - 16.01.2023 08:00","36447","36926"
"16.01.2023 08:00 - 16.01.2023 09:00","41058","41443"
"16.01.2023 09:00 - 16.01.2023 10:00","42691","43006"
"16.01.2023 10:00 - 16.01.2023 11:00","42200","42792"
"16.01.2023 11:00 - 16.01.2023 12:00","41881","42349"
"16.01.2023 12:00 - 16.01.2023 13:00","39828","40964"
"16.01.2023 13:00 - 16.01.2023 14:00","39701","40706"
"16.01.2023 14:00 - 16.01.2023 15:00","40588","42127"
"16.01.2023 15:00 - 16.01.2023 16:00","41193","42613"
"16.01.2023 16:00 - 16.01.2023 17:00","41886","42755"
"16.01.2023 17:00 - 16.01.2023 18:00","42925","43191"
"16.01.2023 18:00 - 16.01.2023 19:00","42626","42295"
"16.01.2023 19:00 - 16.01.2023 20:00","41797","41578"
"16.01.2023 20:00 - 16.01.2023 21:00","39350","39419"
"16.01.2023 21:00 - 16.01.2023 22:00","36181","36359"
"16.01.2023 22:00 - 16.01.2023 23:00","32435","32415"
"16.01.2023 23:00 - 17.01.2023 00:00","29366","29293"
"17.01.2023 00:00 - 17.01.2023 01:00","27629","26793"
"17.01.2023 01:00 - 17.01.2023 02:00","26076","25323"
"17.01.2023 02:00 - 17.01.2023 03:00","25497","24638"
"17.01.2023 03:00 - 17.01.2023 04:00","25210","24278"
"17.01.2023 04:00 - 17.01.2023 05:00","25780","24577"
"17.01.2023 05:00 - 17.01.2023 06:00","27794","26449"
"17.01.2023 06:00 - 17.01.2023 07:00","33236","32078"
"17.01.2023 07:00 - 17.01.2023 08:00","39487","38521"
"17.01.2023 08:00 - 17.01.2023 09:00","43730","42976"
"17.01.2023 09:00 - 17.01.2023 10:00","44537","44678"
"17.01.2023 10:00 - 17.01.2023 11:00","44235","45067"
"17.01.2023 11:00 - 17.01.2023 12:00","43246","44868"
"17.01.2023 12:00 - 17.01.2023 13:00","41684","42568"
"17.01.2023 13:00 - 17.01.2023 14:00","41304","41669"
"17.01.2023 14:00 - 17.01.2023 15:00","42906","42423"
"17.01.2023 15:00 - 17.01.2023 16:00","43666","42962"
"17.01.2023 16:00 - 17.01.2023 17:00","44033","43102"
"17.01.2023 17:00 - 17.01.2023 18:00","44284","43804"
"17.01.2023 18:00 - 17.01.2023 19:00","45157","43106"
"17.01.2023 19:00 - 17.01.2023 20:00","44502","42215"
"17.01.2023 20:00 - 17.01.2023 21:00","41620","39748"
"17.01.2023 21:00 - 17.01.2023 22:00","38608","36766"
"17.01.2023 22:00 - 17.01.2023 23:00","34511","32891"
"17.01.2023 23:00 - 18.01.2023 00:00","31226","29907"
"18.01.2023 00:00 - 18.01.2023 01:00","28132","27216"
"18.01.2023 01:00 - 18.01.2023 02:00","26400","25766"
"18.01.2023 02:00 - 18.01.2023 03:00","25483","24945"
"18.01.2023 03:00 - 18.01.2023 04:00","24986","24800"
"18.01.2023 04:00 - 18.01.2023 05:00","25111","25141"
"18.01.2023 05:00 - 18.01.2023 06:00","26754","26971"
"18.01.2023 06:00 - 18.01.2023 07:00","32452","32456"
"18.01.2023 07:00 - 18.01.2023 08:00","38550","38386"
"18.01.2023 08:00 - 18.01.2023 09:00","43171","42704"
"18.01.2023 09:00 - 18.01.2023 10:00","45011","44103"
"18.01.2023 10:00 - 18.01.2023 11:00","45350","43555"
"18.01.2023 11:00 - 18.01.2023 12:00","45249","43418"
"18.01.2023 12:00 - 18.01.2023 13:00","42865","40908"
"18.01.2023 13:00 - 18.01.2023 14:00","41978","40653"
"18.01.2023 14:00 - 18.01.2023 15:00","43307","41923"
"18.01.2023 15:00 - 18.01.2023 16:00","44053","42686"
"18.01.2023 16:00 - 18.01.2023 17:00","44063","43106"
"18.01.2023 17:00 - 18.01.2023 18:00","44420","44014"
"18.01.2023 18:00 - 18.01.2023 19:00","44556","43412"
"18.01.2023 19:00 - 18.01.2023 20:00","43761","42724"
"18.01.2023 20:00 - 18.01.2023 21:00","41220","40036"
"18.01.2023 21:00 - 18.01.2023 22:00","38070","36951"
"18.01.2023 22:00 - 18.01.2023 23:00","33997","33299"
